step,fid,time,img_per_sec,step_per_sec,sec_per_step
1,439.500000,4.309853,29.699390,29.699390,0.033671
2,434.250000,7.308547,17.513742,35.027483,0.028549
3,435.250000,10.303640,12.422795,37.268384,0.026832
4,434.000000,13.305476,9.620099,38.480397,0.025987
5,434.500000,16.301370,7.852101,39.260505,0.025471
6,432.750000,19.292798,6.634600,39.807601,0.025121
7,432.000000,22.289634,5.742580,40.198058,0.024877
8,430.750000,25.283898,5.062511,40.500085,0.024691
9,429.500000,28.282013,4.525845,40.732602,0.024550
10,427.500000,31.278645,4.092249,40.922489,0.024436
11,426.500000,34.276780,3.734306,41.077371,0.024344
12,427.250000,37.276695,3.433781,41.205370,0.024269
13,422.500000,40.276698,3.178016,41.314211,0.024205
14,422.750000,43.273145,2.957955,41.411365,0.024148
15,420.250000,46.268422,2.766466,41.496985,0.024098
16,420.250000,49.266379,2.598121,41.569931,0.024056
17,419.250000,52.261530,2.449220,41.636745,0.024017
18,416.750000,55.254067,2.316572,41.698288,0.023982
19,414.250000,58.251552,2.197366,41.749961,0.023952
20,415.250000,61.249846,2.089801,41.796024,0.023926
21,412.000000,64.246637,1.992322,41.838766,0.023901
22,411.500000,67.248467,1.903389,41.874561,0.023881
23,409.500000,70.242967,1.822246,41.911669,0.023860
24,409.500000,73.240704,1.747662,41.943889,0.023841
25,406.250000,76.235734,1.679003,41.975066,0.023824
26,405.000000,79.227940,1.615592,42.005383,0.023806
27,406.000000,82.224511,1.556713,42.031263,0.023792
28,402.250000,85.223745,1.501929,42.054007,0.023779
29,400.500000,88.219481,1.450927,42.076874,0.023766
30,397.000000,91.217877,1.403234,42.097011,0.023755
31,396.250000,94.217987,1.358552,42.115101,0.023744
32,394.750000,97.215731,1.316659,42.133099,0.023734
33,391.500000,100.216676,1.277233,42.148674,0.023726
34,392.750000,103.212485,1.240160,42.165441,0.023716
35,384.750000,106.207640,1.205186,42.181523,0.023707
36,383.500000,109.204900,1.172109,42.195909,0.023699
37,380.500000,112.206691,1.140752,42.207822,0.023692
38,381.500000,115.203491,1.111077,42.220943,0.023685
39,378.750000,118.200007,1.082910,42.233500,0.023678
40,377.250000,121.199741,1.056108,42.244315,0.023672
41,375.750000,124.199829,1.030597,42.254487,0.023666
42,373.500000,127.201845,1.006275,42.263538,0.023661
43,370.250000,130.198585,0.983114,42.273885,0.023655
44,365.000000,133.195730,0.960992,42.283638,0.023650
45,364.750000,136.195480,0.939826,42.292152,0.023645
46,361.750000,139.193938,0.919580,42.300693,0.023640
47,357.500000,142.189050,0.900210,42.309869,0.023635
48,356.250000,145.187486,0.881619,42.317697,0.023631
49,354.500000,148.186235,0.863778,42.325119,0.023627
50,350.250000,151.184438,0.846648,42.332399,0.023623
51,346.250000,154.185047,0.830171,42.338736,0.023619
52,345.250000,157.179976,0.814353,42.346361,0.023615
53,341.000000,160.174817,0.799127,42.353724,0.023611
54,339.750000,163.173376,0.784442,42.359852,0.023607
55,333.000000,166.171718,0.770288,42.365813,0.023604
56,330.250000,169.167562,0.756646,42.372190,0.023600
57,326.750000,172.168133,0.743459,42.377180,0.023598
58,325.000000,175.165676,0.730737,42.382733,0.023595
59,321.750000,178.167108,0.718427,42.387173,0.023592
60,319.250000,181.168552,0.706524,42.391463,0.023590
61,314.750000,184.163746,0.695034,42.397052,0.023587
62,311.000000,187.162177,0.683899,42.401729,0.023584
63,311.000000,190.160313,0.673116,42.406325,0.023581
64,306.000000,193.159489,0.662665,42.410549,0.023579
65,300.000000,196.155914,0.652542,42.415239,0.023576
66,297.750000,199.157757,0.642707,42.418634,0.023575
67,294.000000,202.155011,0.633177,42.422891,0.023572
68,289.750000,205.153061,0.623924,42.426859,0.023570
69,286.500000,208.156911,0.614921,42.429531,0.023568
70,281.500000,211.155503,0.606188,42.433182,0.023566
71,275.250000,214.155709,0.597696,42.436412,0.023565
72,274.250000,217.154447,0.589442,42.439840,0.023563
73,270.000000,220.157171,0.581403,42.442406,0.023561
74,265.500000,223.155416,0.573591,42.445755,0.023559
75,262.500000,226.157284,0.565978,42.448334,0.023558
76,258.250000,229.152363,0.558580,42.452104,0.023556
77,251.500000,232.150203,0.551367,42.455272,0.023554
78,249.125000,235.150681,0.544332,42.457883,0.023553
79,243.375000,238.148319,0.537480,42.460934,0.023551
80,240.500000,241.149680,0.530791,42.463254,0.023550
81,238.250000,244.149620,0.524269,42.465763,0.023548
82,228.250000,247.149476,0.517905,42.468227,0.023547
83,226.375000,250.150331,0.511692,42.470461,0.023546
84,224.125000,253.149873,0.505629,42.472863,0.023544
85,217.250000,256.144988,0.499717,42.475943,0.023543
86,213.250000,259.142962,0.493936,42.478483,0.023541
87,209.375000,262.142249,0.488285,42.480753,0.023540
88,206.750000,265.139021,0.482766,42.483373,0.023539
89,200.250000,268.140078,0.477362,42.485257,0.023538
90,197.500000,271.141395,0.472078,42.487057,0.023537
91,194.750000,274.143675,0.466908,42.488669,0.023536
92,189.500000,277.147827,0.461847,42.489960,0.023535
93,187.125000,280.149458,0.456899,42.491605,0.023534
94,180.875000,283.146340,0.452063,42.493927,0.023533
95,175.875000,286.148268,0.447321,42.495452,0.023532
96,172.625000,289.145790,0.442683,42.497593,0.023531
97,167.875000,292.141414,0.438144,42.499965,0.023529
98,166.125000,295.141936,0.433690,42.501585,0.023529
99,159.750000,298.142281,0.429325,42.503197,0.023528
100,157.125000,301.139941,0.425052,42.505155,0.023527
