step,fid,time,img_per_sec,step_per_sec,sec_per_step
1,387.250000,19.801322,6.464215,6.464215,0.154698
2,386.000000,35.435464,3.612201,7.224401,0.138420
3,380.000000,50.977266,2.510923,7.532770,0.132753
4,379.000000,66.034825,1.938371,7.753485,0.128974
5,374.250000,83.239840,1.537725,7.688626,0.130062
6,374.000000,99.344199,1.288450,7.730698,0.129354
7,370.000000,115.922126,1.104190,7.729327,0.129377
8,368.250000,131.447216,0.973775,7.790199,0.128366
9,363.250000,147.613392,0.867130,7.804170,0.128137
10,361.250000,163.770235,0.781583,7.815828,0.127945
11,356.500000,179.295908,0.713904,7.852940,0.127341
12,354.750000,194.920673,0.656677,7.880129,0.126901
13,352.750000,211.686499,0.604668,7.860681,0.127215
14,348.500000,228.126806,0.561091,7.855280,0.127303
15,345.250000,244.180076,0.524203,7.863049,0.127177
16,340.750000,260.164614,0.491996,7.871939,0.127034
17,337.000000,278.651385,0.459355,7.809041,0.128057
18,337.000000,293.263942,0.436467,7.856404,0.127285
19,336.250000,309.366673,0.413749,7.861222,0.127207
20,330.250000,324.256750,0.394749,7.894978,0.126663
21,324.000000,341.993956,0.374276,7.859788,0.127230
22,322.500000,358.335547,0.357207,7.858556,0.127250
23,317.250000,374.184532,0.342077,7.867776,0.127101
24,314.500000,391.972193,0.326554,7.837291,0.127595
25,313.000000,407.947616,0.313766,7.844144,0.127484
26,310.000000,423.000520,0.302600,7.867603,0.127104
27,307.500000,443.104689,0.288871,7.799511,0.128213
28,303.500000,458.339654,0.279269,7.819529,0.127885
29,299.500000,474.324563,0.269857,7.825865,0.127781
30,294.750000,491.269420,0.260549,7.816485,0.127935
31,291.500000,508.383977,0.251778,7.805124,0.128121
32,293.250000,523.487935,0.244514,7.824440,0.127805
33,287.000000,541.368341,0.236438,7.802451,0.128165
34,285.500000,560.193609,0.228492,7.768743,0.128721
35,280.250000,574.942683,0.222631,7.792081,0.128335
36,278.000000,590.799398,0.216656,7.799602,0.128212
37,275.500000,606.601299,0.211012,7.807435,0.128083
38,273.750000,624.209371,0.205059,7.792257,0.128333
39,269.500000,640.705793,0.199780,7.791408,0.128347
40,266.250000,654.986979,0.195424,7.816949,0.127927
41,264.500000,669.891129,0.191076,7.834109,0.127647
42,259.750000,689.076579,0.185756,7.801745,0.128176
43,260.750000,704.080704,0.181797,7.817286,0.127922
44,254.625000,720.158595,0.177739,7.820500,0.127869
45,250.250000,738.132174,0.173411,7.803480,0.128148
46,248.875000,752.547870,0.170089,7.824087,0.127810
47,245.125000,768.181008,0.166627,7.831488,0.127690
48,246.375000,785.805293,0.162890,7.818731,0.127898
49,242.125000,803.434546,0.159316,7.806485,0.128099
50,238.375000,820.026027,0.156093,7.804630,0.128129
51,234.000000,836.343001,0.153047,7.805410,0.128116
52,234.375000,854.295109,0.149831,7.791219,0.128350
53,230.750000,873.222925,0.146583,7.768921,0.128718
54,227.750000,890.692371,0.143708,7.760255,0.128862
55,226.250000,907.834767,0.140995,7.754715,0.128954
56,224.000000,924.589010,0.138440,7.752634,0.128988
57,218.750000,941.085390,0.136013,7.752750,0.128986
58,216.500000,956.113874,0.133875,7.764765,0.128787
59,216.375000,973.751616,0.131450,7.755571,0.128940
60,212.375000,989.166554,0.129402,7.764112,0.128798
61,211.500000,1006.024596,0.127233,7.761242,0.128845
62,208.000000,1022.030681,0.125241,7.764933,0.128784
63,206.500000,1039.600524,0.123124,7.756826,0.128919
64,200.625000,1056.589835,0.121144,7.753245,0.128978
65,199.125000,1074.800277,0.119092,7.740973,0.129183
66,199.750000,1092.532440,0.117159,7.732494,0.129324
67,196.500000,1109.344583,0.115383,7.730691,0.129355
68,192.750000,1126.178462,0.113659,7.728793,0.129386
69,189.375000,1143.405969,0.111946,7.724291,0.129462
70,186.375000,1159.105000,0.110430,7.730102,0.129364
71,186.125000,1176.008825,0.108843,7.727833,0.129402
72,183.250000,1193.469099,0.107250,7.722026,0.129500
73,180.750000,1209.442104,0.105834,7.725876,0.129435
74,176.750000,1225.368059,0.104458,7.729922,0.129367
75,175.625000,1241.154111,0.103130,7.734736,0.129287
76,173.000000,1259.086540,0.101661,7.726236,0.129429
77,170.625000,1273.622794,0.100501,7.738555,0.129223
78,168.750000,1291.026030,0.099146,7.733384,0.129309
79,166.000000,1305.924121,0.098015,7.743176,0.129146
80,165.375000,1321.946366,0.096827,7.746154,0.129096
81,162.750000,1337.952598,0.095669,7.749153,0.129046
82,160.750000,1354.634802,0.094490,7.748214,0.129062
83,158.750000,1374.164116,0.093148,7.731245,0.129345
84,156.750000,1393.417718,0.091860,7.716279,0.129596
85,152.000000,1411.623694,0.090676,7.707437,0.129745
86,150.250000,1426.431567,0.089734,7.717160,0.129581
87,149.000000,1444.035388,0.088640,7.711722,0.129673
88,145.250000,1460.925116,0.087616,7.710183,0.129699
89,143.875000,1480.321429,0.086468,7.695626,0.129944
90,139.625000,1497.051210,0.085501,7.695128,0.129952
91,139.375000,1516.709433,0.084393,7.679783,0.130212
92,134.625000,1533.428890,0.083473,7.679521,0.130216
93,135.000000,1550.385850,0.082560,7.678089,0.130241
94,130.875000,1566.284443,0.081722,7.681874,0.130177
95,128.875000,1587.346029,0.080638,7.660586,0.130538
96,125.625000,1605.586117,0.079722,7.653280,0.130663
97,125.812500,1624.323538,0.078802,7.643797,0.130825
98,124.562500,1647.389448,0.077699,7.614471,0.131329
99,120.875000,1671.495005,0.076578,7.581237,0.131905
100,115.812500,1715.213100,0.074626,7.462630,0.134001
